ACT97415.1	ARO:3002999	CblA-1	mixed culture bacterium AX_gF3SD01_15
ARB93503.1	ARO:3004603	tet(56)	Legionella longbeachae
ADK38716.1	ARO:3002269	IND-14	Chryseobacterium indologenes
CAA66659.1	ARO:3000911	TEM-42	Pseudomonas aeruginosa
AEV91554.1	ARO:3001714	OXA-215	Acinetobacter haemolyticus
CAE48334.1	ARO:3002207	IMP-16	Pseudomonas aeruginosa
AEI54993.1	ARO:3002369	PER-7	Acinetobacter baumannii
AEM97673.1	ARO:3002074	CMY-61	Escherichia coli
AGC60012.1	ARO:3001786	OXA-244	Klebsiella pneumoniae
AAL14440.1	ARO:3000775	adeB	Acinetobacter baumannii
ADI58619.1	ARO:3001659	OXA-175	Acinetobacter baumannii
CAA76196.1	ARO:3002132	DHA-1	Salmonella enterica subsp. enterica serovar Enteritidis
BAE77933.1	ARO:3000518	CRP	Escherichia coli str. K-12 substr. W3110
ABS29619.1	ARO:3000841	CGB-1 beta-lactamase	Chryseobacterium gleum
AAC61671.1	ARO:3002842	vatC	Staphylococcus cohnii
AIH07017.1	ARO:3002329	KPC-19	Klebsiella pneumoniae subsp. pneumoniae
CAC81324.1	ARO:3003015	dfrA19	Salmonella enterica subsp. enterica serovar Typhimurium
CAC14595.1	ARO:3003056	smeE	Stenotrophomonas maltophilia
ACV32634.1	ARO:3001171	SHV-124	Klebsiella pneumoniae
AGW25368.1	ARO:3002000	CTX-M-142	Escherichia coli
AEG64812.1	ARO:3001374	TEM-185	Escherichia coli
CAA29136.1	ARO:3002658	APH(6)-Ib	Streptomyces glaucescens
AAA98296.1	ARO:3000250	ErmC	Staphylococcus epidermidis
ACH58994.1	ARO:3002512	LRA-17	uncultured bacterium BLR17
ADL27532.1	ARO:3001958	CTX-M-99	Klebsiella pneumoniae
AAK17194.1	ARO:3000931	TEM-63	Escherichia coli
ADA13241.1	ARO:3002266	IND-10	Chryseobacterium indologenes
AFN82060.1	ARO:3001091	SHV-33	Klebsiella pneumoniae
AAL68827.1	ARO:3000605	Erm(36)	Micrococcus luteus
AFU25632.1	ARO:3002087	CMY-74	Citrobacter braakii
AAT01223.1	ARO:3001110	SHV-53	Klebsiella pneumoniae] Partial
AEL00459.1	ARO:3002752	QnrB37	Citrobacter freundii
CAA25854.1	ARO:3002659	APH(6)-Ic	Escherichia coli
CCK86743.1	ARO:3002103	CMY-90	Citrobacter freundii
ADR80609.1	ARO:3001169	SHV-122	Klebsiella pneumoniae
AEW46676.3	ARO:3001990	CTX-M-131	Providencia rettgeri
AHL30281.1	ARO:3001569	OXA-383	Acinetobacter baumannii
AAK14293.1	ARO:3002378	VEB-9	Pseudomonas aeruginosa
ABF47917.1	ARO:3001629	OXA-94	Acinetobacter baumannii
CAA40146.1	ARO:3002997	LCR-1	Pseudomonas aeruginosa
ABC61637.1	ARO:3001632	OXA-92	Acinetobacter baumannii
AGV10818.1	ARO:3002669	APH(2'')-Ig	Campylobacter coli CVM N29710
CAP07796.1	ARO:3000860	rmtB	Escherichia coli
ADN26580.1	ARO:3001953	CTX-M-93	Escherichia coli
AGQ93789.1	ARO:3003176	CARB-21	Vibrio parahaemolyticus O1:Kuk str. FDA_R31
CAD70268.1	ARO:3002704	fexA	Staphylococcus lentus
AFY98865.1	ARO:3001997	CTX-M-139	Escherichia coli
CAA41211.1	ARO:3001400	OXA-5	Pseudomonas aeruginosa
CBI75447.1	ARO:3002061	CMY-50	Escherichia coli
CAG25814.1	ARO:3002463	LEN-13	Klebsiella pneumoniae
CAI43425.1	ARO:3002416	OXY-6-4	Klebsiella oxytoca
AHE40557.1	ARO:3002626	ANT(6)-Ia	Exiguobacterium sp. S3-2
CAQ03506.1	ARO:3001155	SHV-106	Klebsiella pneumoniae
AAG24866.1	ARO:3001430	OXA-36	Pseudomonas aeruginosa
AIS67769.1	ARO:3003153	SHV-186	Klebsiella pneumoniae
CAA71324.1	ARO:3000918	TEM-49	Escherichia coli
CAA79968.1	ARO:3002363	PER-1	Pseudomonas aeruginosa
ABI74447.1	ARO:3001019	TEM-152	Escherichia coli
CAP12353.2	ARO:3002428	OKP-A-11	Klebsiella pneumoniae
CAE48335.2	ARO:3002599	AAC(6')-30/AAC(6')-Ib' fusion protein	Pseudomonas aeruginosa
ADO50679.1	ARO:3002295	VIM-25	Proteus mirabilis
AEZ05106.1	ARO:3002587	AAC(6')-33	Escherichia coli
AAA26548.1	ARO:3002534	AAC(3)-IIb	Serratia marcescens
AGF70638.1	ARO:3002325	KPC-15	Klebsiella pneumoniae
AHL30285.1	ARO:3001567	OXA-381	Acinetobacter baumannii
AAC32027.1	ARO:3002817	carA	Streptomyces thermotolerans
ACS73598.1	ARO:3002339	GES-10	uncultured bacterium
BAB41258.1	ARO:3000124	mecI	Staphylococcus aureus subsp. aureus N315
AGU69254.1	ARO:3001687	OXA-316	Acinetobacter baumannii
AAK18183.1	ARO:3002337	GES-8	Pseudomonas aeruginosa
ACL68095.1	ARO:3002431	OKP-A-14	Klebsiella pneumoniae
AAK13430.1	ARO:3002199	IMP-8	Klebsiella pneumoniae
AGU69252.1	ARO:3001685	OXA-314	Acinetobacter baumannii
ACL68096.1	ARO:3002430	OKP-A-13	Klebsiella pneumoniae
AFO55202.1	ARO:3001680	OXA-242	Acinetobacter baumannii
AGL43631.1	ARO:3002782	QnrB70	Citrobacter braakii
AEM44653.1	ARO:3001973	CTX-M-113	Shigella sp. SH284
AAT46414.1	ARO:3000987	TEM-125	Escherichia coli
AAF27723.1	ARO:3002330	GES-1	Klebsiella pneumoniae
ABQ52429.1	ARO:3001636	OXA-104	Acinetobacter baumannii
AAA99505.1	ARO:3002988	bcrB	Bacillus licheniformis
AFH88686.1	ARO:3002763	QnrB48	Citrobacter freundii
CAJ77817.2	ARO:3001438	OXA-100	Acinetobacter baumannii
CAQ42480.1	ARO:3001938	CTX-M-77	Kluyvera ascorbata
AAA98484.1	ARO:3000596	ErmX	Plasmid pNG2
AFU25653.1	ARO:3001837	ACT-15	Enterobacter cloacae
AAL59753.1	ARO:3000412	sul2	Vibrio cholerae
CAA62365.1	ARO:3002645	APH(3')-IIb	Pseudomonas aeruginosa
ABN49112.1	ARO:3001148	SHV-96	Acinetobacter baumannii
AAK14792.1	ARO:3000955	TEM-88	Klebsiella pneumoniae
AIN56719.1	ARO:3002496	OXA-418	Acinetobacter bereziniae
AAW81336.1	ARO:3001613	OXA-64	Acinetobacter baumannii
CAL08007.1	ARO:3001001	TEM-137	Shigella sonnei
ABN49110.1	ARO:3001145	SHV-93	Klebsiella pneumoniae
AGW83454.1	ARO:3001543	OXA-356	Acinetobacter bereziniae
AGE45504.1	ARO:3002082	CMY-69	Escherichia coli
CAP69660.1	ARO:3001811	OXA-129	Salmonella enterica subsp. enterica serovar Bredeney
AGW16415.1	ARO:3001521	OXA-333	Acinetobacter johnsonii
AAF86642.1	ARO:3002933	vanSC	Enterococcus gallinarum
BAD10948.2	ARO:3002563	AAC(6')-Isa	Streptomyces albulus
AIT76104.1	ARO:3002180	MIR-15	Enterobacter kobei
AGH33739.1	ARO:3002377	VEB-8	Escherichia coli
AAD04032.1	ARO:3002892	otr(B)	Streptomyces rimosus
AIA08936.1	ARO:3000444	rphA	Streptomyces sp. WAC4747
CAM12479.1	ARO:3000567	tet(40)	uncultured bacterium
AAK97755.1	ARO:3000167	tet(C)	Aeromonas salmonicida
AAD25538.1	ARO:3000174	tet(G)	Pseudomonas sp.
ABA71726.1	ARO:3004253	vanUG	Enterococcus faecalis
AAC75089.1	ARO:3003577	ugd	Escherichia coli str. K-12 substr. MG1655
CAA33795.1	ARO:3003563	RCP-1	Rhodobacter capsulatus
CAP12358.1	ARO:3002451	OKP-B-18	Klebsiella pneumoniae
AAF27726.1	ARO:3002694	cmlA4	Klebsiella pneumoniae
ABF06441.1	ARO:3002034	CMY-23	Salmonella enterica subsp. enterica serovar Senftenberg
AHL30278.1	ARO:3001564	OXA-378	Acinetobacter baumannii
ABX00624.1	ARO:3002881	lmrC	Streptomyces lincolnensis
ABC86904.2	ARO:3002714	QnrB1	Klebsiella pneumoniae
ABN09669.1	ARO:3001922	CTX-M-61	Salmonella enterica subsp. enterica serovar Typhimurium
ABV31692.1	ARO:3001643	OXA-112	Acinetobacter baumannii
ADM47435.1	ARO:3001695	OXA-134	Acinetobacter lwoffii
AAM22276.1	ARO:3000963	TEM-96	Escherichia coli
AAX55643.1	ARO:3003558	y56 beta-lactamase	Yersinia enterocolitica
AAZ78361.1	ARO:3001703	OXA-86	Acinetobacter baumannii
AGA83484.1	ARO:3001369	TEM-153	Escherichia coli
AEZ05108.1	ARO:3002349	GES-20	Escherichia coli
CAA26964.1	ARO:3000347	ErmA	Staphylococcus aureus
BAA15934.1	ARO:3000829	baeS	Escherichia coli str. K-12 substr. W3110
CAA74573.1	ARO:3001867	CTX-M-4	Salmonella enterica subsp. enterica serovar Typhimurium
AAC37034.1	ARO:3000522	ErmG	Bacteroides thetaiotaomicron
AEK78851.1	ARO:3002163	FOX-9	Klebsiella pneumoniae
AAO38247.1	ARO:3000361	EreA	Escherichia coli
ABA06588.1	ARO:3001121	SHV-66	Klebsiella pneumoniae
AAD02244.1	ARO:3002580	AAC(6')-Ib9	Pseudomonas aeruginosa
CAJ47132.2	ARO:3001131	SHV-77	Klebsiella pneumoniae
AAG07592.1	ARO:3000806	mexG	Pseudomonas aeruginosa PAO1
AFU25644.1	ARO:3002090	CMY-77	Citrobacter sp. W1065
AFK24647.1	ARO:3002301	VIM-31	Enterobacter cloacae
ADM25824.1	ARO:3001178	SHV-134	Klebsiella pneumoniae
AAK69830.1	ARO:3002455	LEN-2	Klebsiella pneumoniae
ACL37342.1	ARO:3002592	AAC(6')-Ib-Hangzhou	Acinetobacter baumannii
AAL38577.1	ARO:3002577	AAC(6')-Ib4	Acinetobacter baumannii
AAB58555.1	ARO:3001413	OXA-18	Pseudomonas aeruginosa
AAM09851.1	ARO:3002923	vanRD	Enterococcus faecium
CAJ19606.1	ARO:3002425	OKP-A-8	Klebsiella pneumoniae
AAZ04368.1	ARO:3002385	BEL-1	Pseudomonas aeruginosa
AAD20273.1	ARO:3002256	IND-1	Chryseobacterium indologenes
AGW25367.1	ARO:3001386	TEM-209	Klebsiella pneumoniae
CAA76796.1	ARO:3000899	TEM-29	Escherichia coli
ABY91240.1	ARO:3002315	KPC-5	Pseudomonas aeruginosa
AAB49832.1	ARO:3002636	APH(2'')-IIIa	Enterococcus gallinarum
AAF37209.2	ARO:3001083	SHV-25	Klebsiella pneumoniae
BAB36671.1	ARO:3000832	evgA	Escherichia coli O157:H7 str. Sakai
AGK07369.1	ARO:3001690	OXA-255	Acinetobacter pittii
ACI29348.1	ARO:3001946	CTX-M-86	Salmonella enterica subsp. enterica serovar Agona
ADQ43421.1	ARO:3002646	APH(3')-IIc	Stenotrophomonas maltophilia
BAD89802.1	ARO:3002212	IMP-21	Pseudomonas aeruginosa
AFO55201.1	ARO:3001679	OXA-241	Acinetobacter baumannii
ABC18328.3	ARO:3001916	CTX-M-54	Klebsiella pneumoniae
AAC32891.1	ARO:3000898	TEM-28	Escherichia coli
AAT49068.1	ARO:3002205	IMP-14	Pseudomonas aeruginosa
BAD11815.1	ARO:3002593	AAC(6')-Ib-SK	Streptomyces kanamyceticus
AAV83795.1	ARO:3001000	TEM-136	Klebsiella pneumoniae
CAJ47129.2	ARO:3001128	SHV-74	Klebsiella pneumoniae
ACR66323.1	ARO:3001059	SHV-1	Klebsiella pneumoniae
AHA80103.1	ARO:3002114	CMY-102	Escherichia coli
AAA65959.1	ARO:3002962	vanZA	Enterococcus faecium
AAC23556.1	ARO:3002660	APH(6)-Id	Pseudomonas aeruginosa
AHI63011.1	ARO:3001552	OXA-365	Acinetobacter baumannii
AEP40504.1	ARO:3002940	vanSN	Enterococcus faecium
ACV83303.2	ARO:3002713	QnrA7	Shewanella algae
AAB05625.1	ARO:3002964	vanWB	Enterococcus faecalis
AAA26057.1	ARO:3002693	cmlA1	Pseudomonas aeruginosa] Partial
CAL30186.1	ARO:3002699	cmlB1	Bordetella bronchiseptica
ACR57831.1	ARO:3003022	dfrB3	Klebsiella oxytoca
ABF47918.1	ARO:3001630	OXA-95	Acinetobacter baumannii
CAJ47131.2	ARO:3001130	SHV-76	Klebsiella pneumoniae
AAL86924.1	ARO:3001884	CTX-M-22	Klebsiella pneumoniae
CAA11706.1	ARO:3001303	ErmO	Streptomyces ambofaciens
ACX92986.2	ARO:3002832	vgaD	Enterococcus faecium
CAA52904.1	ARO:3002688	catS	Streptococcus pyogenes
AEL00451.1	ARO:3002748	QnrB33	Citrobacter braakii
BAA02563.2	ARO:3002182	MOX-1	Klebsiella pneumoniae
PXK69226.1	ARO:3002462	LEN-12	Klebsiella variicola
BAL15076.1	ARO:3001484	OXA-206	Acinetobacter baumannii
AAD37413.1	ARO:3001060	SHV-2	Escherichia coli
ACY29468.1	ARO:3002289	VIM-19	Escherichia coli
ACU00153.1	ARO:3001974	CTX-M-114	Providencia rettgeri
ADX78234.1	ARO:3002297	VIM-27	Klebsiella pneumoniae
AAB66655.1	ARO:3002663	APH(9)-Ib	Streptomyces netropsis
ABS72351.1	ARO:3001152	SHV-103	Klebsiella pneumoniae
ACV44456.1	ARO:3002405	OXY-2-10	Klebsiella oxytoca
CAJ47126.2	ARO:3001125	SHV-71	Klebsiella pneumoniae
AGT59159.1	ARO:3002785	QnrB73	Citrobacter freundii
AGN11769.1	ARO:3001999	CTX-M-141	Klebsiella pneumoniae
AHL30282.1	ARO:3001570	OXA-384	Acinetobacter baumannii
AAN05029.1	ARO:3000981	TEM-118	Klebsiella oxytoca] Partial
ACS44715.1	ARO:3002576	AAC(6')-Ib3	Acinetobacter baumannii
AFO59566.1	ARO:3002226	IMP-35	Pseudomonas aeruginosa
AEJ33969.1	ARO:3000410	sul1	Vibrio fluvialis
AIT76109.1	ARO:3002153	DHA-22	Escherichia coli
AAG33665.1	ARO:3001431	OXA-37	Acinetobacter baumannii
CAP12359.2	ARO:3002452	OKP-B-19	Klebsiella pneumoniae
AAN05030.1	ARO:3002475	LEN-3	Klebsiella pneumoniae] Partial
CAA76793.1	ARO:3000891	TEM-20	Klebsiella pneumoniae
AFP97028.1	ARO:3002228	IMP-37	Pseudomonas aeruginosa
BAP28835.1	ARO:3003116	OXA-420	Acinetobacter baumannii
CAJ32502.1	ARO:3002274	VIM-4	Pseudomonas aeruginosa
ACT09125.1	ARO:3001799	OXA-161	Pseudomonas aeruginosa
AFQ23964.1	ARO:3001197	SHV-158	Klebsiella pneumoniae
ABF70513.1	ARO:3002221	IMP-30	Pseudomonas aeruginosa
CAA06312.1	ARO:3001870	CTX-M-7	Salmonella enterica subsp. enterica serovar Typhimurium
AGW16405.1	ARO:3001511	OXA-323	Acinetobacter calcoaceticus
AAU25807.1	ARO:3002456	LEN-5	Klebsiella pneumoniae
CAP12356.2	ARO:3002438	OKP-B-5	Klebsiella pneumoniae
BAG14343.1	ARO:3002052	CMY-41	Citrobacter freundii
AGK07368.1	ARO:3001689	OXA-253	Acinetobacter baumannii
CAD88479.1	ARO:3002025	CMY-14	Proteus mirabilis
ACP18864.1	ARO:3001035	TEM-169	Salmonella enterica subsp. enterica serovar Infantis
BAB15941.1	ARO:3002197	IMP-6	Serratia marcescens
CAK55557.1	ARO:3002585	AAC(6')-31	Pseudomonas putida
AIL92326.1	ARO:3002254	CARB-17	Vibrio parahaemolyticus
AAV66328.1	ARO:3001114	SHV-59	Klebsiella pneumoniae
AAF05611.1	ARO:3000946	TEM-79	Escherichia coli
AAN86837.2	ARO:3000601	Erm(38)	Mycolicibacterium smegmatis
AHH83938.1	ARO:3000013	vanB	Enterococcus faecium
AAP70012.1	ARO:3001782	OXA-48	Klebsiella pneumoniae
AGC60013.1	ARO:3001787	OXA-245	Klebsiella pneumoniae
CAD08929.1	ARO:3001883	CTX-M-21	Escherichia coli
ADM52193.1	ARO:3002744	QnrB29	Citrobacter freundii
AAS13399.1	ARO:3002028	CMY-17	Escherichia coli
AAC73564.1	ARO:3000216	acrB	Escherichia coli str. K-12 substr. MG1655
AAA16194.1	ARO:3002540	AAC(3)-VIa	Enterobacter cloacae
AEN03071.1	ARO:3000467	NDM-5	Escherichia coli
ACQ82806.1	ARO:3002498	PDC-2	Pseudomonas aeruginosa
CAC87665.1	ARO:3000855	CAU-1 beta-lactamase	Caulobacter vibrioides
CAP12347.2	ARO:3002466	LEN-19	Klebsiella pneumoniae
AAA21889.1	ARO:3002554	AAC(6')-Ig	Acinetobacter haemolyticus
ACC58995.1	ARO:3001611	OXA-58	Acinetobacter baumannii ACICU
CBH51824.1	ARO:3002629	ANT(6)-Ib	Campylobacter fetus subsp. fetus
AHM76771.1	ARO:3001838	ACT-17	Enterobacter cloacae
AJT57878.1	ARO:3003162	OXA-435	Acinetobacter baumannii
AAC64366.1	ARO:3002847	arr-2	Pseudomonas aeruginosa
AAA22597.1	ARO:3000495	ErmD	Bacillus anthracis
AAB59082.1	ARO:3001397	OXA-2	Plasmid R46
AAN32638.1	ARO:3000842	EBR-1 beta-lactamase	Empedobacter brevis
AIS19858.1	ARO:3003177	IMI-7	Enterobacter cloacae
CAA30578.1	ARO:3002652	APH(3')-VIa	Acinetobacter baumannii
ADM26745.1	ARO:3001474	OXA-180	Acinetobacter baumannii
ADK73994.1	ARO:3002161	FOX-8	Escherichia coli
AET99222.1	ARO:3001046	TEM-186	Escherichia coli
CAJ19620.1	ARO:3002444	OKP-B-11	Klebsiella pneumoniae
AFO09968.1	ARO:3001476	OXA-184	Campylobacter jejuni
BAF63422.1	ARO:3001925	CTX-M-64	Shigella sonnei
AAV65289.1	ARO:3001418	OXA-23	Acinetobacter baumannii
BAE48233.1	ARO:3002030	CMY-19	Klebsiella pneumoniae
ACQ82814.1	ARO:3002508	PDC-9	Pseudomonas aeruginosa
CAD53575.1	ARO:3002531	AAC(3)-Ic	Pseudomonas aeruginosa
CAA75663.1	ARO:3000175	tet(H)	Pasteurella multocida
AAW66497.1	ARO:3000566	tet(39)	Acinetobacter sp. LUH5605
AAG05881.1	ARO:3000803	MexE	Pseudomonas aeruginosa PAO1
AAD12753.1	ARO:3000177	tet(J)	Proteus mirabilis
AAB84282.1	ARO:3000181	tet(V)	Mycolicibacterium smegmatis MC2 155
AAB63533.1	ARO:3002556	AAC(6')-Ii	Enterococcus faecium
ABD48715.1	ARO:3001626	OXA-88	Acinetobacter baumannii
ACM04459.1	ARO:3001158	SHV-109	Klebsiella pneumoniae
AFJ79785.1	ARO:3002171	MIR-6	Enterobacter cloacae
AAK30619.1	ARO:3000957	TEM-90	Escherichia coli
ADG84870.1	ARO:3002858	dfrA12	Klebsiella pneumoniae
AHL39327.1	ARO:3002099	CMY-86	Citrobacter freundii
ADK35873.1	ARO:3001469	OXA-169	Acinetobacter baumannii
ABG91835.1	ARO:3002860	dfrA17	Pseudomonas aeruginosa
CAA53242.1	ARO:3001402	OXA-7	Escherichia coli
AAC61670.1	ARO:3001308	VgbB	Staphylococcus cohnii
AFH88134.1	ARO:3001983	CTX-M-124	Escherichia coli
CAQ00120.1	ARO:3001022	TEM-156	Proteus mirabilis
AET07387.1	ARO:3002076	CMY-63	Citrobacter freundii
AHA11126.1	ARO:3001550	OXA-363	Acinetobacter lwoffii
AAC09015.1	ARO:3002481	AER-1	Aeromonas hydrophila
AEM62764.1	ARO:3002802	QnrVC5	Vibrio fluvialis
AFN20670.1	ARO:3001499	OXA-240	Pseudomonas aeruginosa
AAX54694.1	ARO:3001901	CTX-M-39	Escherichia coli
AAL05630.1	ARO:3002313	KPC-3	Klebsiella pneumoniae
AAZ14084.2	ARO:3001013	TEM-146	Escherichia coli
AEI70575.1	ARO:3001826	ACT-9	Pantoea agglomerans
AAC69327.1	ARO:3000598	Erm(31)	Streptomyces venezuelae
ABA71731.1	ARO:3002909	vanG	Enterococcus faecalis
AAF34336.1	ARO:3001080	SHV-22	Klebsiella pneumoniae
CAG34105.1	ARO:3000993	TEM-129	Klebsiella oxytoca
AEL00452.1	ARO:3002749	QnrB34	Citrobacter werkmanii
CAE18141.1	ARO:3003111	lsaB	Staphylococcus sciuri
ABD58917.1	ARO:3002615	aadA15	Pseudomonas aeruginosa
AGC54798.1	ARO:3002107	CMY-94	Escherichia coli
AIT76113.1	ARO:3002174	MIR-9	Enterobacter asburiae
CAJ19601.1	ARO:3002421	OKP-A-4	Klebsiella pneumoniae
CCQ22388.1	ARO:3000421	norB	Listeria monocytogenes
AGU91756.1	ARO:3002359	NDM-9	Klebsiella pneumoniae subsp. pneumoniae
AGZ83156.1	ARO:3001547	OXA-360	Acinetobacter schindleri
CBH19182.1	ARO:3002057	CMY-46	Escherichia coli
CBH51823.1	ARO:3000556	tet44	Campylobacter fetus subsp. fetus
AEB98920.1	ARO:3001479	OXA-194	Acinetobacter nosocomialis
AAD22539.1	ARO:3000923	TEM-54	Escherichia coli
ACS71746.1	ARO:3002737	QnrB22	Citrobacter werkmanii
ADZ75467.1	ARO:3002322	KPC-12	Klebsiella pneumoniae
AFK73452.1	ARO:3002094	CMY-81	Citrobacter freundii
AAK13078.1	ARO:3002195	IMP-4	Acinetobacter baumannii
AAL19304.1	ARO:3000791	mdsC	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
ABS43901.1	ARO:3000783	cmeA	Campylobacter jejuni subsp. doylei 269.97
ADY02554.1	ARO:3001965	CTX-M-105	Escherichia coli
CAA79727.1	ARO:3000191	tetQ	Bacteroides fragilis
ADK92148.1	ARO:3001709	OXA-182	Acinetobacter baumannii
ADI58620.1	ARO:3001660	OXA-176	Acinetobacter baumannii
AGW16409.1	ARO:3001515	OXA-327	Acinetobacter calcoaceticus
CCJ32596.1	ARO:3001673	OXA-248	Acinetobacter baumannii
AAB51440.1	ARO:3002824	ErmV	Streptomyces viridochromogenes
AAA86871.1	ARO:3002841	vatB	Staphylococcus aureus
AGW83452.1	ARO:3001541	OXA-354	Acinetobacter calcoaceticus
AAC77293.1	ARO:3001214	mdtM	Escherichia coli str. K-12 substr. MG1655
CAM88398.1	ARO:3002370	VEB-1	Acinetobacter baumannii AYE
AAC32026.1	ARO:3002823	ErmH	Streptomyces thermotolerans
AAB97924.1	ARO:3001411	OXA-16	Pseudomonas aeruginosa] Partial
CAI10727.2	ARO:3001111	SHV-55	Klebsiella pneumoniae
AAW81342.1	ARO:3001619	OXA-71	Acinetobacter baumannii
ACJ63262.1	ARO:3003107	mefB	Escherichia coli
AFW16978.1	ARO:3001352	SHV-168	Klebsiella pneumoniae
CAA36304.1	ARO:3000251	msrA	Staphylococcus epidermidis
BAC61820.1	ARO:3003151	CARB-22	Vibrio parahaemolyticus RIMD 2210633
CAD70280.1	ARO:3001890	CTX-M-28	Escherichia coli
AGS82586.1	ARO:3002309	VIM-39	Klebsiella pneumoniae
AEZ36150.1	ARO:3000448	qepA	Klebsiella aerogenes
AIT76108.1	ARO:3002144	DHA-13	Morganella morganii
AHA80959.1	ARO:3001357	SHV-173	Klebsiella pneumoniae
WP_063866109.1	ARO:3002760	QnrB45	Escherichia coli
AAF67494.2	ARO:3002522	novA	Streptomyces niveus
AAN63496.1	ARO:3002271	VIM-1	Pseudomonas aeruginosa
ABQ15112.1	ARO:3001802	OXA-141	Pseudomonas aeruginosa
AAS76623.1	ARO:3004606	erm(40)	Mycolicibacterium mageritense] Partial
AAS79107.1	ARO:3000998	TEM-134	Citrobacter koseri
CAA83855.1	ARO:3000380	FosC	Pseudomonas syringae
AIG51284.1	ARO:3001340	SHV-119	Klebsiella pneumoniae
CAQ51348.1	ARO:3001451	OXA-139	Acinetobacter baumannii
AIS39742.1	ARO:3003157	TEM-219	Escherichia coli
AEP40503.1	ARO:3002929	vanRN	Enterococcus faecium
CAC17625.1	ARO:3002518	OCH-5	Ochrobactrum anthropi
AFG29918.1	ARO:3001670	OXA-231	Acinetobacter baumannii
CAA26235.1	ARO:3003061	viomycin phosphotransferase	Streptomyces vinaceus
AAC69328.1	ARO:3001265	Erm(30)	Streptomyces venezuelae
CAA65888.1	ARO:3001043	TEM-178	Serratia marcescens
CAJ77857.1	ARO:3000778	adeG	Acinetobacter baumannii AYE
AAF27727.1	ARO:3002602	aadA2	Klebsiella pneumoniae
ABS12249.1	ARO:3002041	CMY-30	Escherichia coli
CAA06311.1	ARO:3001869	CTX-M-6	Salmonella enterica subsp. enterica serovar Typhimurium
AAO88912.1	ARO:3001895	CTX-M-33	Escherichia coli
AAL73129.1	ARO:3000616	mel	Streptococcus pyogenes
CAL34518.1	ARO:3000526	cmeR	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
ACH87088.1	ARO:3000196	tet32	Escherichia coli
AIT76115.1	ARO:3002178	MIR-13	Enterobacter asburiae
AAT74613.1	ARO:3003676	AAC(6')-Ib'	Pseudomonas aeruginosa
ADQ38362.1	ARO:3002064	CMY-53	Escherichia coli
AIT76118.1	ARO:3001583	OXA-397	Acinetobacter baumannii
CAJ47136.2	ARO:3001135	SHV-81	Klebsiella pneumoniae
CAJ17558.1	ARO:3001007	TEM-144	Salmonella enterica subsp. enterica serovar Derby
CAJ32491.1	ARO:3002622	aadA6/aadA10	Pseudomonas aeruginosa
BAA03776.1	ARO:3000316	mphA	Escherichia coli
CAI43417.1	ARO:3002411	OXY-5-1	Klebsiella oxytoca
AAS89984.1	ARO:3000977	TEM-114	Klebsiella aerogenes
CCP42991.1	ARO:3002525	AAC(2')-Ic	Mycobacterium tuberculosis H37Rv
AFU25641.1	ARO:3002085	CMY-72	Citrobacter freundii
BAB35162.1	ARO:3000676	H-NS	Escherichia coli O157:H7 str. Sakai
AAG12974.1	ARO:3002159	FOX-5	Klebsiella pneumoniae
CAG28417.1	ARO:3001956	CTX-M-96	Klebsiella pneumoniae
AIS67613.1	ARO:3003165	CTX-M-157	Klebsiella pneumoniae
AAB58161.1	ARO:3003010	ceoB	Burkholderia cepacia
AGT20529.1	ARO:3002352	GES-23	Pseudomonas aeruginosa
AAV97956.1	ARO:3001908	CTX-M-46	Klebsiella pneumoniae
AAN41427.1	ARO:3001775	OXA-119	uncultured bacterium
AAA22277.1	ARO:3003007	bmr	Bacillus subtilis
AGL43629.1	ARO:3002780	QnrB68	Citrobacter braakii
AAR03105.1	ARO:3001813	OXA-55	Shewanella algae
AAP33454.2	ARO:3001089	SHV-31	Klebsiella pneumoniae
CAA27061.1	ARO:3002648	APH(3')-IVa	Bacillus circulans
AAC60781.1	ARO:3003048	rosA	Yersinia enterocolitica (type O:8)
AFQ23955.1	ARO:3001188	SHV-149	Klebsiella pneumoniae
AFR46587.1	ARO:3002769	QnrB56	Citrobacter freundii
AAD51346.1	ARO:3003053	smeC	Stenotrophomonas maltophilia
ABN69112.2	ARO:3002167	MIR-4	Escherichia coli
AAA25717.1	ARO:3002624	ANT(4')-IIa	Pseudomonas aeruginosa
AEL31271.1	ARO:3002755	QnrB40	Citrobacter braakii
AIT76092.1	ARO:3002126	CMY-115	Citrobacter freundii
ADZ54048.1	ARO:3001766	OXA-192	Brachyspira pilosicoli
ABU52984.1	ARO:3002792	QnrS3	Escherichia coli] Partial
AAD03495.1	ARO:3002567	AAC(6')-Iw	Acinetobacter sp. 640
ABS90365.1	ARO:3001928	CTX-M-67	Escherichia coli
AAS13761.1	ARO:3002280	VIM-10	Pseudomonas aeruginosa
AAA98096.1	ARO:3000595	ErmT	Plasmid pGT633
AEE61368.1	ARO:3001487	OXA-210	Pseudomonas aeruginosa
ADJ94120.1	ARO:3002345	GES-16	Serratia marcescens
CAA64682.1	ARO:3000914	TEM-45	Escherichia coli
AAM61952.1	ARO:3000967	TEM-104	Klebsiella pneumoniae
CAO82104.1	ARO:3002726	QnrB12	Citrobacter werkmanii
